GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Maven plug-in example with Offline Instrumentation,default,PrimeNumberFinder_ORIGINAL,118,0,32,0,27,0,20,0,4,0
JaCoCo Maven plug-in example with Offline Instrumentation,default,PrimeNumberFinder,0,117,1,31,0,25,1,19,0,4
